东城,西城,崇文,宣武,朝阳,丰台,石景山,海淀,门头沟,房山,通州,顺义,昌平,大兴,平谷,怀柔,密云,延庆
http://z.xywy.com/yiyuan-dzmhospital.htm,http://z.xywy.com/yiyuan-xwhosp.htm,,,http://z.xywy.com/yiyuan-cicams.htm,http://z.xywy.com/yiyuan-dongfangyy.htm,http://z.xywy.com/yiyuan-chinaeyecare.htm,http://z.xywy.com/yiyuan-hjzyy.htm,,http://z.xywy.com/yiyuan-zghgybjslyyy.htm,http://z.xywy.com/yiyuan-263yy.htm,http://z.xywy.com/yiyuan-syqfybjy.htm,http://z.xywy.com/yiyuan-beijinghuayiyiyuan.htm,http://z.xywy.com/yiyuan-dxqyy.htm,,,,http://z.xywy.com/yiyuan-h35126.htm
(三甲 中医 医保),(三甲 综合 医保),,,(三甲 肿瘤 医保),(三甲 中医 医保),(三甲 眼科 医保),(三甲 综合 医保),,(二级 综合 医保),(二甲 综合 医保),(二甲 妇幼 医保),(三甲 中西 医保),(三级 综合 医保),,,,(二甲 综合 医保)
陆军总医院,北京积水潭医院,,,首都儿科研究所,北京博爱医院,北京石景山医院,西苑医院,,北京市房山区精神病,通州区妇幼保健院,顺义李桥儿童医院,昌平中医院,大兴红星医院,,,,
http://z.xywy.com/yiyuan-ljzy.htm,http://z.xywy.com/yiyuan-jsthosp.htm,,,http://z.xywy.com/yiyuan-shouer.htm,http://z.xywy.com/yiyuan-crrc.htm,http://z.xywy.com/yiyuan-bjsjsyy.htm,http://z.xywy.com/yiyuan-xyhospital.htm,,http://z.xywy.com/yiyuan-fsjby.htm,http://z.xywy.com/yiyuan-bjstzqfybjy.htm,http://z.xywy.com/yiyuan-sylqetyy.htm,http://z.xywy.com/yiyuan-cpzyy.htm,http://z.xywy.com/yiyuan-bjsdxqhxyy.htm,,,,
(三甲 综合 医保),(三甲 综合 医保),,,(三甲 儿童 医保),(三甲 康复 医保),(二甲 综合 医保),(三甲 中医 医保),,(一级 精神 医保),(二甲 妇幼 医保),(二级 儿童 ),(三甲 中医 医保),(二级 综合 医保),,,,
北京中医医院,北京儿童医院,,,306医院,307医院,清华大学玉泉医院,空军总医院,,北京安康医院,通州区新华医院,,沙河医院,大兴精神病医院,,,,
http://z.xywy.com/yiyuan-bjzhongyi.htm,http://z.xywy.com/yiyuan-bch.htm,,,http://z.xywy.com/yiyuan-306.htm,http://z.xywy.com/yiyuan-307yy.htm,http://z.xywy.com/yiyuan-cppnsurgery.htm,http://z.xywy.com/yiyuan-kjhospital.htm,,http://z.xywy.com/yiyuan-bjakyy.htm,http://z.xywy.com/yiyuan-kqzp.htm,,http://z.xywy.com/yiyuan-cpshyy.htm,http://z.xywy.com/yiyuan-dxbughouse.htm,,,,
(三甲 中医 医保),(三甲 儿童 医保),,,(三甲 综合 医保),(三甲 综合 医保),(二甲 综合 医保),(三甲 综合 医保),,(三乙 康复 ),(二级 综合 医保),,(二级 综合 医保),(二甲 精神 医保),,,,
北京口腔医院,北京友谊医院,,,北京妇产医院,北京航天总医院,北京康复中心,北京大学肿瘤医院,,北京房山区中医医院,通州老年病医院,,天通苑医院,大兴妇幼保健院,,,,
http://z.xywy.com/yiyuan-dentist.htm,http://z.xywy.com/yiyuan-bfh.htm,,,http://z.xywy.com/yiyuan-bjogh.htm,http://z.xywy.com/yiyuan-711hospital.htm,http://z.xywy.com/yiyuan-bjrrc.htm,http://z.xywy.com/yiyuan-bjcance.htm,,http://z.xywy.com/yiyuan-beijingfangshanquzhongyiyiyuan.htm,http://z.xywy.com/yiyuan-tzlnb.htm,,http://z.xywy.com/yiyuan-ttyyy.htm,http://z.xywy.com/yiyuan-dxfy.htm,,,,
(三甲 口腔 医保),(三甲 综合 医保),,,(三甲 妇产 医保),(三级 综合 医保),(三级 综合 医保),(三甲 肿瘤 医保),,(三甲 综合 ),(二级 中西 医保),,(一甲 中医 医保),(二甲 妇幼 医保),,,,
和平里医院,广安门中医院,,,地坛医院,北京电力医院,北京联科中医肾病医,北京世纪坛医院,,北京市房山区中医医,通州区中西医结合医,,昌平区南口医院,大兴区长子营镇朱庄,,,,
http://z.xywy.com/yiyuan-hplyy.htm,http://z.xywy.com/yiyuan-gamhospital.htm,,,http://z.xywy.com/yiyuan-bjdth.htm,http://z.xywy.com/yiyuan-sgcc.htm,http://z.xywy.com/yiyuan-h15704.htm,http://z.xywy.com/yiyuan-bjgrh.htm,,http://z.xywy.com/yiyuan-h21369.htm,http://z.xywy.com/yiyuan-tzqzxyjhyy.htm,,http://z.xywy.com/yiyuan-bjscpqnkyy.htm,http://z.xywy.com/yiyuan-dxqzarzzzwsy.htm,,,,
(三甲 综合 医保),(三甲 中医 医保),,,(三甲 传染 医保),(三级 综合 医保),(三级 中医 医保),(三甲 综合 医保),,(三甲 综合 医保),(二甲 中医 医保),,(二级 综合 医保),(一级 综合 ),,,,
八一儿童医院,火箭军总医院,,,航空总医院,北京丰台医院,石景山中医院,309医院,,北京房山区中医院,通州区柳岸方园社区,,北京小汤山医院,国家康复辅具研究中,,,,
http://z.xywy.com/yiyuan-81ek.htm,http://z.xywy.com/yiyuan-epzyy.htm,,,http://z.xywy.com/yiyuan-hkzyy.htm,http://z.xywy.com/yiyuan-bjftyy.htm,http://z.xywy.com/yiyuan-sjszyy.htm,http://z.xywy.com/yiyuan-309yy.htm,,http://z.xywy.com/yiyuan-h10192.htm,http://z.xywy.com/yiyuan-h11693.htm,,http://z.xywy.com/yiyuan-xiaotangshanyiyuan.htm,http://z.xywy.com/yiyuan-guojiakangfufujuyanjiuzhongxin.htm,,,,
(三甲 儿童 医保),(三甲 综合 医保),,,(三级 综合 医保),(二甲 综合 医保),(二级 中医 医保),(三甲 综合 医保),,(三甲 中医 医保),(一级 综合 ),,(三级 综合 医保),(二甲 康复 ),,,,
北京市隆福医院,北京复兴医院,,,清华大学第一附属医,北京首大耳鼻喉医院,石景山妇幼保健院,航天中心医院,,,北京友谊新华医院,,京都儿童医院,大兴区魏善庄镇中心,,,,
http://z.xywy.com/yiyuan-lfhos.htm,http://z.xywy.com/yiyuan-bjfxh.htm,,,http://z.xywy.com/yiyuan-tufh.htm,http://z.xywy.com/yiyuan-h11425.htm,http://z.xywy.com/yiyuan-sjshb.htm,http://z.xywy.com/yiyuan-asch.htm,,,http://z.xywy.com/yiyuan-shouduyikedaxuefushubeijingyouyiyiyuanxinhuayiyuan.htm,,http://z.xywy.com/yiyuan-jdetyy.htm,http://z.xywy.com/yiyuan-h24106.htm,,,,
(三级 中西 医保),(三级 综合 医保),,,(三级 综合 医保),(三级 五官 医保),(二级 妇幼 医保),(三级 综合 医保),,,(二级 综合 医保),,(三级 儿童 ),(一甲 综合 ),,,,
中医研究院骨伤医院,北大妇产儿童医院,,,煤炭总医院,长辛店医院,,北大六院,,,北京市通州区中西医,,京城博爱康复医院,北京市大兴区京军医,,,,
http://z.xywy.com/yiyuan-zgzyyjygskyy.htm,http://z.xywy.com/yiyuan-bdfcekyy.htm,,,http://z.xywy.com/yiyuan-mtzyy.htm,http://z.xywy.com/yiyuan-cxdyy.htm,http://z.xywy.com/yiyuan-h35028.htm,http://z.xywy.com/yiyuan-pkuh6.htm,,,http://z.xywy.com/yiyuan-h28454.htm,,http://z.xywy.com/yiyuan-jcbakfyy.htm,http://z.xywy.com/yiyuan-h15966.htm,,,,
(三级 中医 医保),(三甲 妇幼 医保),,,(三级 综合 医保),(三甲 中西 医保),(二乙 中医 医保),(三甲 精神 医保),,,(二乙 中医 ),,(三级 综合 ),( 综合 ),,,,
北京市第六医院,北京安定医院,,,望京医院,731医院,,北京市海淀医院,,,,,北京市昌平区天通苑,北京南郊肿瘤医院,,,,
http://z.xywy.com/yiyuan-bjsdlyy.htm,http://z.xywy.com/yiyuan-bjad.htm,,,http://z.xywy.com/yiyuan-wjhospital6.htm,http://z.xywy.com/yiyuan-hy731.htm,,http://z.xywy.com/yiyuan-hdhospital.htm,,,,,http://z.xywy.com/yiyuan-h25142.htm,http://z.xywy.com/yiyuan-h24688.htm,,,,
(二甲 综合 医保),(三甲 精神 医保),,,(三甲 中医 医保),(二甲 综合 医保),,(三级 综合 医保),,,,,(二甲 中医 ),(二级 肿瘤 医保),,,,
北京市普仁医院,解放军305医院,,,北京冶金医院,南苑医院,,北京老年医院,,,,,北京市昌平区益明医,,,,,
http://z.xywy.com/yiyuan-puren.htm,http://z.xywy.com/yiyuan-hospital305.htm,,,http://z.xywy.com/yiyuan-zydsy.htm,http://z.xywy.com/yiyuan-nyyy.htm,,http://z.xywy.com/yiyuan-lnyy.htm,,,,,http://z.xywy.com/yiyuan-h29988.htm,,,,,
(二甲 综合 医保),(三甲 综合 医保),,,(三甲 中西 医保),(二级 综合 医保),,(三级 综合 医保),,,,,( 综合 ),,,,,
中国中医针灸医院,健宫医院,,,民航总医院,北京铁营医院,,466医院,,,,,赵树芳卫生室,,,,,
http://z.xywy.com/yiyuan-zgzjyy.htm,http://z.xywy.com/yiyuan-jgyy.htm,,,http://z.xywy.com/yiyuan-mhzyy.htm,http://z.xywy.com/yiyuan-tyyy.htm,,http://z.xywy.com/yiyuan-466yy.htm,,,,,http://z.xywy.com/yiyuan-h16969.htm,,,,,
(一级 民族 医保),(二甲 综合 医保),,,(三级 综合 医保),(二级 综合 医保),,(三甲 综合 医保),,,,,(一丙 综合 ),,,,,
北京鼓楼医院,北京按摩医院,,,垂杨柳医院,北京武警三院,,中关村医院,,,,,北京市昌平区妇幼保,,,,,
http://z.xywy.com/yiyuan-beijingshigulouzhongyiyuan.htm,http://z.xywy.com/yiyuan-bjamyy.htm,,,http://z.xywy.com/yiyuan-cylh6.htm,http://z.xywy.com/yiyuan-bjwjsy.htm,,http://z.xywy.com/yiyuan-zgchospital.htm,,,,,http://z.xywy.com/yiyuan-h16938.htm,,,,,
(三级 中医 医保),(二级 中医 医保),,,(三级 综合 医保),(三甲 综合 医保),,(二甲 综合 医保),,,,,(二级 妇幼 ),,,,,
北京中医药大学东直,护国寺中医院,,,北大口腔医院第二门,丰台区卢沟桥医院,,北京中西医结合医院,,,,,北京民康医院,,,,,
http://z.xywy.com/yiyuan-dzmhospital6.htm,http://z.xywy.com/yiyuan-hgszyy.htm,,,http://z.xywy.com/yiyuan-bjdxkqyydemzb.htm,http://z.xywy.com/yiyuan-lgqyy.htm,,http://z.xywy.com/yiyuan-bjzxyjhyy.htm,,,,,http://z.xywy.com/yiyuan-h16724.htm,,,,,
(三甲 综合 医保),(三甲 中医 医保),,,(三甲 口腔 医保),(一甲 综合 医保),,(三甲 中西 医保),,,,,(二甲 综合 医保),,,,,
北大口腔四门诊,北大口腔第一门诊部,,,北京天伦医院,丰台区妇幼保健院,,海淀妇幼保健院,,,,,,,,,,
http://z.xywy.com/yiyuan-bdkqyydsmzb.htm,http://z.xywy.com/yiyuan-bdkqdymzb.htm,,,http://z.xywy.com/yiyuan-h12540.htm,http://z.xywy.com/yiyuan-bjftfy.htm,,http://z.xywy.com/yiyuan-hdfybjy.htm,,,,,,,,,,
(三甲 口腔 医保),(三甲 口腔 医保),,,(一级 妇科 ),(二级 妇幼 医保),,(二甲 妇幼 医保),,,,,,,,,,
北京市东城区第二妇,北京二龙路医院,,,朝阳区第三医院,首都医科大学附属北,,北京大学口腔医院第,,,,,,,,,,
http://z.xywy.com/yiyuan-bjcwfy.htm,http://z.xywy.com/yiyuan-beijingerlongluyiyuan.htm,,,http://z.xywy.com/yiyuan-bjscyqdsyy.htm,http://z.xywy.com/yiyuan-bjtth1.htm,,http://z.xywy.com/yiyuan-bjdxkqyydsmzb.htm,,,,,,,,,,
(二甲 妇幼 医保),(三甲 肛肠 医保),,,(二级 精神 医保),(三甲 综合 医保),,(三甲 口腔 医保),,,,,,,,,,
首都医科大学附属北,宣武中医院,,,朝阳区妇幼保健院,丰台区蒲黄榆医院,,清华大学校医院,,,,,,,,,,
http://z.xywy.com/yiyuan-trhos2.htm,http://z.xywy.com/yiyuan-xwzy.htm,,,http://z.xywy.com/yiyuan-cyqfybjy.htm,http://z.xywy.com/yiyuan-phyyy.htm,,http://z.xywy.com/yiyuan-qhxyy.htm,,,,,,,,,,
(三甲 综合 医保),(三级 中医 医保),,,(二甲 妇幼 医保),(一甲 综合 医保),,(二级 综合 医保),,,,,,,,,,
北京中研医院管理中,北京市第二医院,,,北京小庄医院,北京同仁堂第二中医,,解放军316医院,,,,,,,,,,
http://z.xywy.com/yiyuan-h25847.htm,http://z.xywy.com/yiyuan-bjsdeyy.htm,,,http://z.xywy.com/yiyuan-bjxzyy.htm,http://z.xywy.com/yiyuan-h34254.htm,,http://z.xywy.com/yiyuan-316yy.htm,,,,,,,,,,
(二乙 中医 ),(二甲 综合 医保),,,(二甲 综合 医保),(一级 综合 医保),,(二甲 综合 医保),,,,,,,,,,
首都医科大学附属北,西城区展览路医院,,,北京大学口腔医院第,兴隆中医医院,,北京市上地医院,,,,,,,,,,
http://z.xywy.com/yiyuan-h9276.htm,http://z.xywy.com/yiyuan-xcqzllyy.htm,,,http://z.xywy.com/yiyuan-bjdxkqyydwmzb.htm,http://z.xywy.com/yiyuan-xlzyy.htm,,http://z.xywy.com/yiyuan-bjssdyy.htm,,,,,,,,,,
(三甲 妇产 医保),(二甲 综合 医保),,,(三甲 口腔 医保),(一级 中医 医保),,(二级 综合 医保),,,,,,,,,,
东城区第一人民医院,北京监狱管理局中心,,,朝阳中医院,北京市丰台区妇幼保,,中国人民解放军总医,,,,,,,,,,
http://z.xywy.com/yiyuan-dcqdyrmyy.htm,http://z.xywy.com/yiyuan-bjjgj.htm,,,http://z.xywy.com/yiyuan-cyqzyyy.htm,http://z.xywy.com/yiyuan-h15216.htm,,http://z.xywy.com/yiyuan-hjzyy2.htm,,,,,,,,,,
(二甲 综合 医保),(二甲 综合 医保),,,(二甲 中医 医保),(二乙 妇幼 医保),,(三甲 综合 医保),,,,,,,,,,
北京中医药大学东直,宣武妇幼保健院,,,中国医科大学航空总,丰台区大红门医院,,中国人民解放军第九,,,,,,,,,,
http://z.xywy.com/yiyuan-bjzyydxdyfsyy.htm,http://z.xywy.com/yiyuan-xwfybjy.htm,,,http://z.xywy.com/yiyuan-hkzyy3.htm,http://z.xywy.com/yiyuan-dhmyy.htm,,http://z.xywy.com/yiyuan-261yy.htm,,,,,,,,,,
(三甲 综合 ),(二甲 妇幼 医保),,,(三级 综合 医保),(一甲 综合 医保),,(三乙 综合 医保),,,,,,,,,,
北京中医药大学东直,北京大学第一医院,,,北京第一中西医结合,北京市武警北京总队,,首都医科大学附属北,,,,,,,,,,
http://z.xywy.com/yiyuan-bjsbjzyydxdzmyy.htm,http://z.xywy.com/yiyuan-h9748.htm,,,http://z.xywy.com/yiyuan-bjsdyzxyjhyy.htm,http://z.xywy.com/yiyuan-h14662.htm,,http://z.xywy.com/yiyuan-sdykdxfdbjsjtyy.htm,,,,,,,,,,
(三甲 综合 医保),(三甲 综合 ),,,(三甲 中西 医保),(三级 综合 ),,(三甲 综合 ),,,,,,,,,,
北京总医院,广外医院,,,双桥医院,北京国济中医医院,,海淀精神卫生防治院,,,,,,,,,,
http://z.xywy.com/yiyuan-bjzyy.htm,http://z.xywy.com/yiyuan-bjsxcqgwyy.htm,,,http://z.xywy.com/yiyuan-shuangqiaoyiyuan.htm,http://z.xywy.com/yiyuan-h8818.htm,,http://z.xywy.com/yiyuan-h35137.htm,,,,,,,,,,
(三甲 综合 ),(二级 综合 医保),,,(二级 综合 医保),(二甲 综合 ),,(三甲 综合 医保),,,,,,,,,,
北京市和平里医院,西城区妇幼保健院,,,北京市垂杨柳医院,北京丰台广济中西医,,北京水利医院,,,,,,,,,,
http://z.xywy.com/yiyuan-bjshplyy.htm,http://z.xywy.com/yiyuan-xcqfybjy.htm,,,http://z.xywy.com/yiyuan-h14527.htm,http://z.xywy.com/yiyuan-gjzxyjgyy.htm,,http://z.xywy.com/yiyuan-hdjfw.htm,,,,,,,,,,
(二甲 综合 ),(二甲 综合 医保),,,(二甲 综合 ),(一级 综合 ),,(二级 精神 医保),,,,,,,,,,
天坛医院,西城区平安医院,,,北京市朝阳区劲松医,北京医院协会右安门,,中国人民大学医院,,,,,,,,,,
http://z.xywy.com/yiyuan-tiantanyiyuan.htm,http://z.xywy.com/yiyuan-xcqpayy.htm,,,http://z.xywy.com/yiyuan-cyjsyy.htm,http://z.xywy.com/yiyuan-h9712.htm,,http://z.xywy.com/yiyuan-beijingshuiliyiyuan.htm,,,,,,,,,,
(三甲 综合 医保),(二甲 综合 医保),,,( 综合 医保),(二甲 综合 医保),,(二甲 综合 医保),,,,,,,,,,
北京东城中医院,中国中医科学院广安,,,北京藏医院,,,北京化工职业病防治,,,,,,,,,,
http://z.xywy.com/yiyuan-h8918.htm,http://z.xywy.com/yiyuan-gamhospital2.htm,,,http://z.xywy.com/yiyuan-beijingcangyiyuan.htm,,,http://z.xywy.com/yiyuan-zgrmdxyy.htm,,,,,,,,,,
(三级 中医 ),(三甲 综合 医保),,,(二乙 民族 医保),,,(一甲 综合 医保),,,,,,,,,,
首医大中医药学院附,首都医科大学附属北,,,望京社区卫生服务中,,,北京大学医院,,,,,,,,,,
http://z.xywy.com/yiyuan-sydzyyxyfsglzyyy.htm,http://z.xywy.com/yiyuan-bfh1.htm,,,http://z.xywy.com/yiyuan-wjsqwsfwzx.htm,,,http://z.xywy.com/yiyuan-bjhgzfy.htm,,,,,,,,,,
(二甲 中医 医保),(三甲 综合 ),,,(一甲 综合 医保),,,(二甲 综合 医保),,,,,,,,,,
